"Flow rate, Q (BFPD)","Pressure (psi)"
3002.74586712845,0
2874.89052819356,262.967487684729
2786.5481646952,382.8
2378.17472676573,765.6
2350,786.757076405096
1777.62555334004,1148.4
984.900644418131,1531.2
0,1914
